1,41626068716356
0,240351244241159
0,220519849155653
2,49110162742703
1,10066839364197
3,93171798765547
0,254820587958155
0,254820587958155
5,33954772480194
1,59708308867222
0,649205419131409
4,01076740476462
1,15948236905216
25,7141161132371
5,37697254138483
2,95872090566614
4,3651490108105
2,26969948482646
14,5281068182152
0,440268718876299
3,53564966603485
3,53564966603485
7,1862138445658
3,43917989287586
10,3087074489796
3,53327373895086
2,83468356982305
4,01901820973122
1,67733035117408
7,13885868281562
5,18659150688074
7,88257410500995
6,55274357189423
1,84168307625392
1,84168307625392
4,34919954932535
21,7707416464146
4,07297844993249
9,3010729804493
2,26919154528653
8,98506378104185
4,06722637388806
2,88805233352566
2,60324078923341
0,321251662095258
7,40137376594755
10,0569071314897
24,5176332330989
1,26486239357888
7,162336634441
6,80626403293373
5,3630484548372
9,47506505592125
4,2963328803141
7,16260944612876
2,47351104468769
7,76633232229152
1,35672694866119
0,807196387018486
6,69043696530045
1,03465534117349
5,13123341565498
5,43869703879451
9,54599489175112
8,4814576176329
4,43675846762821
1,03278302731987
29,5131687341718
0,616949521832445
6,40150838307835
2,08448200361746
5,44968169331213
1,0769461606478
14,6762897008005
1,50028438381039
4,35027213798458
1,60748168007044
1,4436400772176
5,74606782800682
3,58992418122366
25,5745998316029
8,25297255837756
5,58967998729681
0,596845875968503
0,561123862485871
4,64323562855236
5,93925133394028
7,11345050176116
2,1177555357807
23,6238119081153
3,11081666922149
27,0738359873781
2,12733094317812
10,1474255989089
0,6931340202086
7,35453135804319
4,39570958722078
6,62556744477172
8,421684118352
25,9414948172177
